Date,Open,High,Low,Price
04-03-16,15243.75,15451.75,15005.5,15339.2
08-03-16,15323.45,15326.65,15066.5,15146.5
09-03-16,15022.35,15331.25,14989.4,15279.05
10-03-16,15347.45,15354.15,15098.5,15180.65
11-03-16,15133.75,15343.55,15024.8,15168.2
14-03-16,15309.05,15416.15,15220.15,15277.8
15-03-16,15310.45,15386.85,15268.1,15326.8
16-03-16,15304.35,15489.5,15178.3,15461.7
17-03-16,15622.3,15704.75,15312.5,15444
18-03-16,15485.8,15678.55,15456.2,15654.85
21-03-16,15735.55,15945.8,15735.55,15926.1
22-03-16,15930.45,15967.85,15779.15,15936
23-03-16,15884.25,15919.6,15799.95,15887.75
28-03-16,15867.75,15890.7,15522.2,15604.9
29-03-16,15583.1,15774.1,15580.8,15666.25
30-03-16,15829.6,16167.5,15762.2,16134.85
31-03-16,16134.4,16282.75,16062.05,16141.65
01-04-16,16099.65,16235.8,16020.6,16174.9
04-04-16,16236.9,16278.5,16046.5,16190.6
05-04-16,16127.45,16147.15,15659.75,15695
06-04-16,15750.15,15768.55,15578.55,15636.95
07-04-16,15668.95,15726.6,15458.05,15530.75
08-04-16,15519.3,15642.7,15483.05,15568.35
11-04-16,15623.35,15853.85,15440.25,15818.5
12-04-16,15809.1,15958.8,15794.15,15880.2
13-04-16,16087.95,16349.7,16080.55,16278.55
18-04-16,16328.7,16330.55,16011.9,16222.7
20-04-16,16299.5,16386.35,16160.55,16349.7
21-04-16,16526.55,16769.55,16526.55,16637.15
22-04-16,16641.05,16755.85,16549.1,16703.4
25-04-16,16746.95,16767.9,16605,16678.65
26-04-16,16647.75,17029.85,16572,17002.55
27-04-16,16869.35,16995,16827.35,16872.95
28-04-16,16885.8,17023.35,16692.7,16716.9
29-04-16,16712.95,16841.3,16527.55,16795
02-05-16,16614,16674.15,16519.55,16543
03-05-16,16570.75,16719.4,16358.4,16388.7
04-05-16,16320.1,16465.6,16250.5,16274.25
05-05-16,16292.4,16398.25,16193.7,16281
06-05-16,16264.45,16346.25,16186.25,16296.6
09-05-16,16357,16712.9,16357,16686.1
10-05-16,16710.05,16812.2,16613.9,16784.95
11-05-16,16544.25,16861.95,16518.75,16754.45
12-05-16,16881.25,16962,16779.5,16923.7
13-05-16,16891.7,16891.7,16594.55,16716.9
16-05-16,16744.15,16780.05,16431.65,16737.55
17-05-16,16818.4,16903.35,16738.7,16762.75
18-05-16,16671.7,16759.05,16556.6,16728.95
19-05-16,16725.45,16726.15,16535.75,16565.25
20-05-16,16600.8,16623.2,16455.4,16481.45
23-05-16,16560.15,16604.15,16368,16407.55
24-05-16,16422.35,16501.05,16368.6,16456.65
25-05-16,16600.65,17025.85,16599.05,16997.45
26-05-16,17037.6,17424.05,16971.35,17359.3
27-05-16,17348.35,17543.3,17327.65,17511.8
30-05-16,17580.85,17666.05,17484.8,17520.65
31-05-16,17615.1,17648.25,17462.2,17620.9
01-06-16,17670.85,17670.85,17392.85,17423.45
02-06-16,17405.15,17596.4,17350.45,17567.8
03-06-16,17657.2,17762.05,17649.05,17680.8
06-06-16,17710.45,17754.15,17636.9,17671.4
07-06-16,17796.55,18000.95,17713.35,17948.15
08-06-16,17976.25,17995.8,17855.2,17946.8
09-06-16,17955.8,17986.15,17801.55,17887.7
10-06-16,17830.2,18051.5,17815.25,17828.6
13-06-16,17620.55,17666.55,17527.55,17593.95
14-06-16,17698.95,17719.85,17575.95,17672.4
15-06-16,17746.05,17943.65,17659.6,17917.9
16-06-16,17827.6,17827.6,17545.8,17671.3
17-06-16,17772.3,17843.15,17590.75,17696.05
20-06-16,17425.8,17779,17425.8,17718.6
21-06-16,17761.65,17763.3,17585.65,17619.1
22-06-16,17610.1,17755.25,17518.15,17626.05
23-06-16,17630.8,17907.5,17611,17892.45
24-06-16,17213.85,17459.2,16946.35,17426.05
27-06-16,17346.3,17611.2,17346.3,17514.95
28-06-16,17497,17626.7,17481.5,17561.55
29-06-16,17643.65,17728.95,17580.5,17689.9
30-06-16,17825.3,17975.05,17795.9,17935.4
01-07-16,18019.7,18074.95,17955.3,17985.65
04-07-16,18091.75,18146.35,18054.8,18097.65
05-07-16,18122.4,18124.1,17989.6,18004.25
07-07-16,18036.3,18146.55,17997.1,18084.9
08-07-16,18078.05,18079.2,17910.9,18016.25
11-07-16,18268.15,18409.45,18243.3,18390.95
12-07-16,18527.85,18684.45,18464.15,18667.6
13-07-16,18704.9,18711.6,18546.25,18618.95
14-07-16,18633.5,18880.9,18580.2,18863.75
15-07-16,18887.9,19016.1,18772.45,18953.65
18-07-16,18998.3,19158,18885,18923.4
19-07-16,18970.15,19030.05,18833.6,18905.15
20-07-16,18896.8,19016.25,18886.3,18968.2
21-07-16,18967.4,19000.3,18644.55,18674.3
22-07-16,18697.8,18735.4,18551.3,18690.4
25-07-16,18594.95,19035.35,18572.1,18989.6
26-07-16,18979.1,19044.45,18814.25,18860.85
27-07-16,18908.45,19125,18882.4,19021.95
28-07-16,19050.4,19126.75,18998.8,19076.55
29-07-16,19047.05,19070.15,18912.6,18953.15
01-08-16,18896.5,19078.5,18634.4,18740.6
02-08-16,18783.6,18866.55,18671.85,18708.25
03-08-16,18680.95,18775.4,18542.6,18602
04-08-16,18724.9,18724.9,18443.65,18571.7
05-08-16,18725.2,18943.15,18708.25,18925.95
08-08-16,18986.75,19028.7,18896,18939.45
09-08-16,18968.65,19008.15,18838.6,18933.3
10-08-16,18966.85,18985.25,18611.25,18647.8
11-08-16,18621,18699.2,18537.1,18640.4
12-08-16,18698.3,18986.8,18695.5,18963.7
16-08-16,19029.1,19062.2,18839.4,19002.15
17-08-16,19044.55,19138.35,18966.35,19041.25
18-08-16,19087.2,19367.45,19083,19352.8
19-08-16,19419,19457.4,19327.2,19414.7
22-08-16,19432.6,19493.2,19252.75,19330.25
23-08-16,19311.9,19372.65,19246.9,19341.65
24-08-16,19358.7,19392.2,19284.35,19355.6
25-08-16,19383.7,19432.75,19282.8,19304.25
