,Date,Open,High,Low,Price,Volume
71,2016-02-16,549.0,550.0,520.6,524.04,396078
72,2016-02-17,524.1,525.25,513.79,519.7,309876
73,2016-02-18,524.54,529.45,520.54,525.35,105954
74,2016-02-19,528.0,530.0,519.6,523.04,106360
75,2016-02-22,534.79,534.79,525.0,530.5,59269
76,2016-02-23,532.0,532.5,517.79,522.6,100653
77,2016-02-24,523.0,523.0,510.6,513.79,86626
78,2016-02-25,515.0,520.75,510.5,518.25,57921
79,2016-02-26,517.0,527.29,517.0,523.75,66205
80,2016-02-29,527.0,528.75,505.55,515.0,179986
81,2016-03-01,515.0,521.25,509.25,517.5,118269
82,2016-03-02,524.0,531.85,520.0,525.15,745711
83,2016-03-03,530.0,531.0,524.5,528.2,114612
84,2016-03-04,531.65,545.0,530.1,539.1,303755
85,2016-03-08,540.0,549.5,529.0,531.5,137470
86,2016-03-09,532.0,534.65,522.0,529.95,119779
87,2016-03-10,539.0,539.9,530.2,534.45,147704
88,2016-03-11,533.15,538.79,531.25,534.7,201642
89,2016-03-14,541.5,543.5,534.0,538.04,106378
90,2016-03-15,535.0,538.0,521.6,524.7,126355
91,2016-03-16,524.5,534.75,516.79,532.65,696361
92,2016-03-17,536.0,536.5,522.0,524.45,270682
93,2016-03-18,530.0,530.6,518.0,528.35,341990
94,2016-03-21,531.55,538.9,528.0,535.95,106279
95,2016-03-22,538.5,538.5,531.6,535.9,77506
96,2016-03-23,534.45,535.2,526.0,532.5,580172
97,2016-03-28,535.95,536.35,523.0,524.45,103036
98,2016-03-29,523.0,524.95,495.2,504.35,346082
99,2016-03-30,510.0,516.8,502.75,512.1,172593
100,2016-03-31,514.0,518.3,508.2,512.2,140046
101,2016-04-01,514.0,517.25,510.7,513.45,134066
102,2016-04-04,519.0,519.0,512.3,513.9,85223
103,2016-04-05,514.0,515.95,501.9,504.0,85477
104,2016-04-06,505.0,507.0,497.5,506.0,119744
105,2016-04-07,506.0,513.05,501.7,508.35,164141
106,2016-04-08,509.85,510.9,504.2,505.55,78672
107,2016-04-11,506.0,506.25,497.75,502.6,165297
108,2016-04-12,504.05,509.0,501.0,503.0,135847
109,2016-04-13,506.45,514.75,504.0,511.75,198192
110,2016-04-18,514.0,525.45,507.7,524.15,187364
111,2016-04-20,525.5,530.5,520.3,527.25,216035
112,2016-04-21,532.0,533.8,526.85,531.95,414466
113,2016-04-22,530.95,536.45,527.2,531.5,135730
114,2016-04-25,532.0,533.85,523.8,525.9,75028
115,2016-04-26,525.5,542.05,524.2,540.35,133032
116,2016-04-27,538.7,544.5,534.85,538.5,135965
117,2016-04-28,544.75,544.75,525.95,527.05,332611
118,2016-04-29,533.0,538.0,528.05,537.0,83263
119,2016-05-02,537.5,544.45,535.2,538.3,293764
120,2016-05-03,538.3,547.0,527.15,536.3,139466
121,2016-05-04,535.0,541.0,530.0,533.35,75301
122,2016-05-05,534.9,543.85,534.2,541.2,89574
123,2016-05-06,541.2,542.7,535.1,536.75,48630
124,2016-05-09,540.95,540.95,533.4,536.6,62237
125,2016-05-10,536.9,539.7,532.8,536.9,54382
126,2016-05-11,532.5,539.4,530.8,535.85,48938
127,2016-05-12,538.0,542.65,534.5,534.7,249404
128,2016-05-13,534.5,538.55,529.3,531.25,63777
129,2016-05-16,533.7,533.7,522.0,523.45,80732
130,2016-05-17,523.5,528.9,523.0,524.65,64774
131,2016-05-18,523.0,526.45,520.5,524.3,68101
132,2016-05-19,527.5,527.5,510.95,512.6,100706
133,2016-05-20,514.95,515.55,501.7,507.25,163147
134,2016-05-23,508.5,510.0,495.05,497.4,201463
135,2016-05-24,500.9,504.95,492.35,494.9,241057
136,2016-05-25,478.0,479.6,458.25,470.3,1228482
137,2016-05-26,473.1,473.1,466.1,467.6,351583
138,2016-05-27,471.9,478.35,469.55,473.65,297714
139,2016-05-30,476.0,478.4,470.1,473.65,192772
140,2016-05-31,478.0,478.85,471.05,472.4,170130
141,2016-06-01,473.75,474.6,464.0,465.35,266628
142,2016-06-02,464.5,470.45,459.5,469.25,203840
143,2016-06-03,471.15,473.8,462.5,465.1,168923
144,2016-06-06,469.8,471.8,466.5,467.65,176786
145,2016-06-07,467.2,472.0,467.1,468.75,109593
146,2016-06-08,471.35,474.0,468.6,472.75,150168
147,2016-06-09,473.0,482.5,469.5,479.9,231038
148,2016-06-10,476.0,486.5,475.0,476.25,239887
149,2016-06-13,475.0,479.8,465.9,469.2,184196
150,2016-06-14,471.5,483.0,470.0,482.2,163256
151,2016-06-15,485.0,492.0,483.65,489.35,239039
152,2016-06-16,489.5,489.5,479.1,485.1,146811
153,2016-06-17,486.0,490.25,483.7,484.0,102344
154,2016-06-20,488.9,490.3,484.25,486.65,129088
155,2016-06-21,488.95,489.7,481.0,482.85,88263
156,2016-06-22,483.35,486.7,480.3,483.5,365944
157,2016-06-23,483.65,483.65,474.95,476.1,543592
158,2016-06-24,467.5,477.9,460.0,476.5,524177
159,2016-06-27,478.0,491.4,474.0,489.0,193479
160,2016-06-28,491.0,498.8,486.8,496.85,256791
161,2016-06-29,499.0,504.9,496.5,501.3,126232
162,2016-06-30,505.0,506.8,499.7,501.45,173365
163,2016-07-01,502.0,509.8,500.0,507.9,113222
164,2016-07-04,510.5,513.2,507.9,509.0,100491
165,2016-07-05,511.0,511.0,503.0,506.55,62264
166,2016-07-06,456.0,508.0,456.0,507.0,50
167,2016-07-07,507.0,516.15,504.4,513.25,185801
168,2016-07-08,516.75,522.0,513.15,519.75,140106
169,2016-07-11,525.0,527.75,519.75,521.35,134273
170,2016-07-12,522.55,522.55,515.0,516.2,267987
171,2016-07-13,517.0,519.0,511.35,515.25,160257
172,2016-07-14,517.0,517.0,507.4,510.9,134078
173,2016-07-15,516.9,518.7,511.0,516.15,100056
174,2016-07-18,517.0,517.45,506.3,508.1,87533
175,2016-07-19,509.0,510.65,501.1,507.0,111047
176,2016-07-20,507.9,519.0,506.0,517.8,230252
177,2016-07-21,522.5,526.95,513.2,515.4,237203
178,2016-07-22,519.9,522.3,512.85,519.7,121617
179,2016-07-25,515.0,527.0,513.4,524.6,402993
180,2016-07-26,528.0,529.9,521.5,523.05,223034
181,2016-07-27,521.35,528.8,517.75,523.5,145968
182,2016-07-28,524.05,527.9,519.0,520.5,94410
183,2016-07-29,522.85,536.45,520.75,530.05,244238
184,2016-08-01,532.9,535.4,521.7,525.1,142995
185,2016-08-02,525.0,529.45,516.9,518.6,101704
186,2016-08-03,517.25,535.0,515.7,529.4,187186
187,2016-08-04,535.0,535.0,523.35,526.2,107382
188,2016-08-05,530.95,533.4,527.15,532.1,81226
189,2016-08-08,534.0,541.1,532.1,535.0,110585
190,2016-08-09,537.95,540.5,530.0,532.65,134572
191,2016-08-10,533.65,534.0,519.55,522.1,113488
192,2016-08-11,521.65,526.05,518.1,524.65,100714
193,2016-08-12,526.0,526.35,512.1,516.65,279195
194,2016-08-16,510.0,556.4,509.9,553.55,946283
195,2016-08-17,546.0,563.4,546.0,549.95,901850
196,2016-08-18,551.0,557.0,547.6,551.6,157661
197,2016-08-19,554.0,559.9,552.5,554.55,99708
198,2016-08-22,556.2,565.2,552.95,557.45,154974
199,2016-08-23,555.95,557.4,552.3,554.95,45878
200,2016-08-24,557.0,570.5,554.1,565.9,399643
201,2016-08-25,569.5,574.8,560.0,563.05,128983
202,2016-08-26,566.6,571.75,562.85,568.0,265707
203,2016-08-29,569.95,569.95,563.0,567.2,59465
204,2016-08-30,570.25,581.0,568.0,576.6,151692
205,2016-08-31,581.0,586.5,569.95,572.6,213308
206,2016-09-01,574.8,580.0,571.0,577.55,94876
207,2016-09-02,581.0,581.15,572.0,577.8,161082
208,2016-09-06,581.15,586.35,576.05,578.15,177572
209,2016-09-07,579.0,585.0,575.45,582.5,115806
210,2016-09-08,580.65,597.0,580.65,592.25,542156
211,2016-09-09,595.0,595.7,579.0,581.5,279073
212,2016-09-12,576.0,578.6,565.25,568.9,180020
213,2016-09-14,571.0,583.25,568.25,576.65,141094
214,2016-09-15,577.5,590.6,576.9,584.45,178512
215,2016-09-16,586.95,594.5,585.0,592.35,192198
216,2016-09-19,593.0,600.0,593.0,597.7,141476
217,2016-09-20,599.0,607.5,596.0,601.9,136025
218,2016-09-21,605.0,605.2,597.1,599.1,138461
219,2016-09-22,605.0,610.4,604.0,609.05,208551
220,2016-09-23,609.0,617.7,605.0,610.1,78505
221,2016-09-26,609.0,614.35,602.0,604.2,270780
222,2016-09-27,610.0,610.3,603.0,607.45,66187
223,2016-09-28,608.5,612.45,603.0,605.3,58465
224,2016-09-29,609.0,610.55,585.95,600.9,145846
225,2016-09-30,605.0,605.0,562.2,580.25,851242
226,2016-10-03,583.1,591.6,582.5,588.65,146130
227,2016-10-04,591.45,604.0,591.15,595.35,203285
228,2016-10-05,598.75,600.7,591.05,592.8,254259
229,2016-10-06,588.0,596.65,577.1,579.15,140746
