,Date,Open,High,Low,Price,Volume
133,2016-05-20,1177.05,1193.0,1172.85,1180.1,36993
134,2016-05-23,1180.0,1182.75,1158.1,1158.1,159805
135,2016-05-24,1164.0,1177.8,1160.6,1176.0,54268
136,2016-05-25,1186.7,1212.0,1185.0,1206.95,178554
137,2016-05-26,1207.05,1233.7,1191.4,1227.5,97321
138,2016-05-27,1228.5,1266.5,1219.05,1257.3,185414
139,2016-05-30,1255.0,1258.9,1213.3,1230.2,95994
140,2016-05-31,1239.9,1249.0,1223.6,1246.5,51976
141,2016-06-01,1242.0,1247.0,1230.55,1241.5,33829
142,2016-06-02,1242.95,1263.0,1232.5,1260.55,40631
143,2016-06-03,1265.0,1267.5,1246.65,1252.0,51714
144,2016-06-06,1260.0,1265.0,1248.0,1251.7,54952
145,2016-06-07,1247.55,1258.95,1243.25,1250.45,52766
146,2016-06-08,1255.4,1267.0,1248.5,1256.0,50832
147,2016-06-09,1256.0,1257.8,1234.0,1238.4,41963
148,2016-06-10,1237.5,1251.75,1228.55,1231.45,115783
149,2016-06-13,1228.0,1228.0,1202.05,1211.3,1628270
150,2016-06-14,1212.0,1212.0,1190.0,1199.5,53809
151,2016-06-15,1205.5,1210.0,1190.5,1205.85,78234
152,2016-06-16,1198.0,1205.5,1183.0,1201.3,62099
153,2016-06-17,1218.0,1236.0,1211.5,1227.8,141369
154,2016-06-20,1211.55,1234.05,1207.9,1228.0,74184
155,2016-06-21,1232.0,1241.25,1220.65,1232.25,62557
156,2016-06-22,1232.2,1241.9,1225.05,1238.2,174373
157,2016-06-23,1233.3,1249.0,1229.05,1242.55,67502
158,2016-06-24,1212.6,1226.35,1200.05,1223.65,244731
159,2016-06-27,1218.0,1229.5,1211.0,1216.95,79014
160,2016-06-28,1212.0,1232.75,1212.0,1228.0,55471
161,2016-06-29,1232.05,1250.9,1231.5,1247.25,92743
162,2016-06-30,1260.0,1266.0,1243.75,1255.0,70472
163,2016-07-01,1253.0,1262.45,1239.7,1244.65,125354
164,2016-07-04,1250.8,1265.2,1247.5,1252.45,55885
165,2016-07-05,1256.0,1261.95,1247.3,1259.75,52919
166,2016-07-06,1150.0,1269.0,1140.0,1261.0,245
167,2016-07-07,1260.0,1294.35,1252.5,1290.95,111057
168,2016-07-08,1290.0,1300.45,1273.1,1283.9,116909
169,2016-07-11,1298.7,1317.9,1298.65,1313.0,95329
170,2016-07-12,1319.85,1336.0,1318.35,1332.75,64084
171,2016-07-13,1336.0,1337.9,1316.0,1328.6,55346
172,2016-07-14,1328.6,1339.0,1318.05,1336.25,148489
173,2016-07-15,1325.0,1364.5,1323.55,1360.25,190834
174,2016-07-18,1360.0,1385.55,1338.1,1345.2,983180
175,2016-07-19,1356.0,1356.0,1331.0,1338.4,137006
176,2016-07-20,1339.0,1345.1,1326.0,1334.95,61225
177,2016-07-21,1340.0,1344.75,1329.35,1332.0,76249
178,2016-07-22,1331.65,1358.5,1327.0,1357.0,175539
179,2016-07-25,1355.7,1384.8,1350.5,1380.0,132145
180,2016-07-26,1382.0,1382.0,1363.0,1367.6,33368
